"filename", "language", "Markdown", "JavaScript", "CSS", "XML", "JSON", "C#", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\appsettings.Development.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\appsettings.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\sprites\icon.svg", "XML", 0, 0, 0, 140, 0, 0, 0, 0, 1, 141
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\css\site.css", "CSS", 0, 0, 170, 0, 0, 0, 0, 0, 35, 205
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\js\site.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css", "CSS", 0, 0, 3855, 0, 0, 0, 0, 7, 1135, 4997
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css", "CSS", 0, 0, 3855, 0, 0, 0, 0, 7, 1134, 4996
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css", "CSS", 0, 0, 347, 0, 0, 0, 0, 16, 64, 427
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css", "CSS", 0, 0, 353, 0, 0, 0, 0, 8, 63, 424
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css", "CSS", 0, 0, 3729, 0, 0, 0, 0, 9, 1128, 4866
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css", "CSS", 0, 0, 3725, 0, 0, 0, 0, 7, 1125, 4857
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap.css", "CSS", 0, 0, 9453, 0, 0, 0, 0, 27, 1741, 11221
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css", "CSS", 0, 0, 9455, 0, 0, 0, 0, 7, 1735, 11197
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 0, 4846, 0, 0, 0, 0, 0, 584, 1351, 6781
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 0, 3418, 0, 0, 0, 0, 0, 495, 1065, 4978
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 0, 3457, 0, 0, 0, 0, 0, 501, 1069, 5027
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.js", "JavaScript", 0, 306, 0, 0, 0, 0, 0, 73, 54, 433
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation-unobtrusive\jquery.validate.unobtrusive.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation\LICENSE.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation\dist\additional-methods.js", "JavaScript", 0, 630, 0, 0, 0, 0, 0, 395, 133, 1158
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation\dist\additional-methods.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation\dist\jquery.validate.js", "JavaScript", 0, 1184, 0, 0, 0, 0, 0, 183, 234, 1601
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery\dist\jquery.js", "JavaScript", 0, 6906, 0, 0, 0, 0, 0, 1890, 2077, 10873
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculatorWebsite\wwwroot\lib\jquery\dist\jquery.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\licht\source\repos\DerivativeCalculator\DerivativeCalculator\.VSCodeCounter\2023-01-01_15-46-09\details.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
